Absolute Magnitude,Est Dia in KM(min),Est Dia in KM(max),Relative Velocity km per sec,Miss Dist.(Astronomical),Orbit Uncertainity,Minimum Orbit Intersection,Jupiter Tisserand Invariant,Eccentricity,Semi Major Axis,Inclination,Orbital Period,Perihelion Distance,Aphelion Dist,Mean Anomaly,Mean Motion,Hazardous
21.6,0.1272198785,0.2844722965,6.1158343887,0.4194825299,5,0.0252819,4.634,0.4255490832802685,1.407011302712976,6.025981287138329,609.599786407648,0.808258932678493,2.005763672747459,264.8375332988031,0.5905513880204395,1
21.3,0.1460679643,0.3266178974,18.1139850263,0.3830144627,3,0.186935,5.457,0.3516743045868617,1.10777595443772,28.41299637199041,425.8692942066788,0.7181996160227876,1.497352292852652,173.7411119891742,0.8453297875598617,0
20.3,0.2315021222,0.5176544822,7.5907111617,0.0509560159,0,0.0430579,4.557,0.3482482617619956,1.458823814474811,4.237961002947924,643.580228077368,0.950790956866954,1.966856672082667,292.8936537794408,0.5593708201314143,1
27.4,0.0088014652,0.0196806745,11.1738744976,0.2853223297,6,0.0055118,5.093,0.2165783078378784,1.255902889613577,7.905894348125122,514.0821403654488,0.9839015669723666,1.527904212254787,68.74100661777578,0.7002771964497434,0
21.6,0.1272198785,0.2844722965,9.8408310539,0.4078321707,1,0.034798,5.154,0.2104479432284866,1.225614736618327,16.79338165999116,495.597820944911,0.9676866361064762,1.483542837130177,135.1421326756292,0.7263954456329549,1
19.6,0.3195618867,0.7145621017,10.8088439585,0.3927847844,1,0.272213,4.724,0.5634410734978924,1.323532179970776,17.92775064011703,556.1605558442809,0.5777997876790363,2.069264572262516,354.2373683433312,0.6472950953048102,0
19.6,0.3195618867,0.7145621017,10.8088415879,0.392783196,1,0.272213,4.724,0.5634411100746358,1.323532161963902,17.92774837902645,556.1605444942963,0.5777997314074783,2.069264592520325,354.237396160877,0.6472951085146458,0
19.2,0.3841978911,0.8590926012,24.4218839949,0.1291791611,0,0.0987582,4.921,0.4497627959965093,1.237474536298783,34.69512745281478,502.8087578997973,0.6809045288785588,1.794044543719008,186.7769322776995,0.7159779823718642,0
17.8,0.7320739893,1.6369672047,17.373783837,0.3582829267,0,0.109354,5.386,0.2381790104348694,1.145550849266033,22.21521029077527,447.8370128477652,0.8727046815850249,1.418397016947041,182.2364315309588,0.803863882779104,0
21.5,0.1332155667,0.2978790628,12.8996097219,0.1518057418,0,0.0169065,6.623,0.551388806833007,0.8761253667964827,2.059576978010798,299.5351607368495,0.3930396461624395,1.359211087430526,119.8613823033982,1.201862242530755,1
22.4,0.0880146521,0.1968067451,22.4213663146,0.2010399884,6,0.000317965,7.033,0.4758194774081156,0.8138767249034949,23.18568668072357,268.18616502096,0.4266183269852852,1.201135122821705,5.556806412851552,1.342351123786957,0
25.8,0.0183888672,0.0411187571,17.2746114639,0.4310155871,4,0.00186378,5.122,0.2048406780030454,1.240789317594743,13.7442332087249,504.8303955012963,0.9866251925196996,1.494953442669786,46.68495944704712,0.7131107857372974,0
25.0,0.02658,0.0594346868,12.1185099534,0.3598014121,6,0.0187898,6.384,0.326860711970322,0.930233744449396,8.333753551706272,327.7076361182716,0.626176880439848,1.234290608458944,66.77697673554127,1.098540163006986,0
19.1,0.4023045798,0.8995803882,10.8299262895,0.4306559914,0,0.214004,4.862,0.1493579627014401,1.32292378805863,21.26523155355708,555.777121989752,1.125334586264921,1.520512989852338,15.23187454710148,0.6477416679390378,0
